Street,Neighborhood,City,Size,Bedrooms,Bathrooms,Vacancies,Advertisement_Value,Square_Meter_Value,just_street,street,zip_code,latitude,longitude,Point,setor_censo
Rua Kansas,Brooklin Paulista,São Paulo,180,3,3,3,1100000.0,4266.666666666667,rua kansas,rua kansas,6365330.0,-23.552674,-46.849401,POINT (-46.849401 -23.552674),
"Rua Comendador Armando Pereira, 309 ",Tremembé,São Paulo,151,3,3,8,520000.0,9664.596273291923,rua comendador armando pereira,rua comendador armando pereira,2357090.0,-23.6482869,-46.6401001,POINT (-46.6401001 -23.6482869),355030838000027.0
Rua Santo Adauto,Vila Minerva,São Paulo,170,3,2,2,325000.0,2403.669724770642,rua santo adauto,rua santo adauto,8441350.0,-23.5401204,-46.413288,POINT (-46.413288 -23.5401204),355030896000034.0
Rua dos Maracujás,Vila Mazzei,São Paulo,211,4,7,8,890000.0,5565.217391304348,rua dos maracujás,rua dos maracujás,6724050.0,-23.6939624,-46.9342083,POINT (-46.9342083 -23.6939624),
"Avenida Raimundo Pereira de Magalhães, 6000 ",Pirituba,São Paulo,102,3,4,2,409000.0,3333.333333333333,avenida raimundo pereira de magalhães,avenida raimundo pereira de magalhães,5092040.0,-23.4867996,-46.7260943,POINT (-46.7260943 -23.4867996),355030863000003.0
Rua Nicolau Barreto,Vila Cordeiro,São Paulo,177,3,5,2,1500000.0,3445.273631840796,rua nicolau barreto,rua nicolau barreto,11662180.0,-23.6180837,-45.3918995,POINT (-45.3918995 -23.6180837),
,Chácara Santo Antônio (Zona Sul),São Paulo,190,2,2,2,1100000.0,3965.364120781528,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
,Jardim Guedala,São Paulo,650,4,6,4,5500000.0,8805.104371502042,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Salvador Fontoura,Parque Boturussu,São Paulo,210,3,2,6,250000.0,2968.0,rua salvador fontoura,rua salvador fontoura,3803040.0,-23.4960397,-46.4893463,POINT (-46.4893463 -23.4960397),355030828000038.0
,Vila Arriete,São Paulo,200,4,3,2,775000.0,10180.981906188776,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Inglaterra,Jardim Europa,São Paulo,200,3,3,2,13000.0,6565.217391304348,rua inglaterra,rua inglaterra,13471630.0,-22.7258493,-47.3399273,POINT (-47.3399273 -22.7258493),
Rua Peribebuí,Alto da Lapa,São Paulo,440,4,6,7,2200000.0,3181.903864278982,rua peribebuí,rua peribebuí,5084000.0,-23.5266667,-46.7221582,POINT (-46.7221582 -23.5266667),355030888000024.0
"Avenida João XXIII, 925 ",Vila Formosa,São Paulo,225,2,2,2,780000.0,7627.118644067797,avenida joão xxiii,avenida joão xxiii,13231120.0,-23.243615,-46.761438,POINT (-46.761438 -23.243615),
Rua Taiaçupeba,Quinta da Paineira,São Paulo,350,3,5,6,980000.0,2377.589001447178,rua taiaçupeba,rua taiaçupeba,3150030.0,-23.671336,-46.1869355,POINT (-46.1869355 -23.671336),
"Rua Coronel Virgílio dos Santos, 271 ",Vila Jaguara,São Paulo,220,3,3,2,750000.0,4277.309195638757,rua coronel virgílio dos santos,rua coronel virgílio dos santos,5115000.0,-23.5110153,-46.7501572,POINT (-46.7501572 -23.5110153),355030840000008.0
"Rua da Paz, 89 ",Alto da Boa Vista,São Paulo,386,4,4,5,1680000.0,2924.6344206974127,rua da paz,rua da paz,13607381.0,-22.3709526,-47.366156,POINT (-47.366156 -22.3709526),
